,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
11,2019-05-25,19:00,Série A,Matchweek 6,Sat,Home,W,1,0,Atlético Mineiro,2.7,0.6,56.0,13714.0,Maicon Souza,4-2-3-1,Rafael Traci,Match Report,,23,8,17.3,0,1,2019,Gremio
12,2019-06-01,19:00,Série A,Matchweek 7,Sat,Away,L,0,1,Bahia,0.6,2.0,56.0,26930.0,Pedro Geromel,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,7,1,20.6,0,0,2019,Gremio
13,2019-06-08,19:00,Série A,Matchweek 8,Sat,Home,W,1,0,Fortaleza,0.9,0.2,65.0,3761.0,Maicon Souza,4-2-3-1,Savio Pereira,Match Report,,12,4,19.0,0,0,2019,Gremio
14,2019-06-12,19:15,Série A,Matchweek 9,Wed,Away,W,1,0,Botafogo (RJ),0.8,0.4,53.0,17757.0,Michel,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,14,5,23.3,0,0,2019,Gremio
15,2019-07-13,17:00,Série A,Matchweek 10,Sat,Home,W,2,1,Vasco da Gama,1.8,1.5,70.0,9701.0,Léo Moura,4-2-3-1,Rodolpho Toski Marques,Match Report,,11,6,13.8,0,0,2019,Gremio
16,2019-07-20,19:00,Série A,Matchweek 11,Sat,Away,D,1,1,Internacional,0.4,1.0,57.0,35103.0,Léo Moura,4-2-3-1,Anderson Daronco,Match Report,,10,3,21.1,0,0,2019,Gremio
18,2019-07-29,20:00,Série A,Matchweek 12,Mon,Away,D,0,0,CSA,1.4,0.5,60.0,11918.0,Pedro Geromel,4-2-3-1,Caio Max Augusto Vieira,Match Report,,15,0,21.4,0,0,2019,Gremio
20,2019-08-05,20:00,Série A,Matchweek 13,Mon,Home,D,3,3,Chapecoense,1.6,0.9,68.0,13418.0,Maicon Souza,4-2-3-1,Felipe Fernandes de Lima,Match Report,,23,9,18.3,0,0,2019,Gremio
21,2019-08-10,19:00,Série A,Matchweek 14,Sat,Away,L,1,3,Flamengo,1.1,2.3,43.0,57644.0,Léo Moura,4-2-3-1,Braulio da Silva Machado,Match Report,,6,1,19.7,1,1,2019,Gremio
22,2019-08-17,21:00,Série A,Matchweek 15,Sat,Home,D,1,1,Palmeiras,0.5,1.7,67.0,12897.0,Léo Moura,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,14,3,28.5,0,0,2019,Gremio
24,2019-08-24,17:00,Série A,Matchweek 16,Sat,Home,W,2,1,Ath Paranaense,2.0,1.3,40.0,12748.0,Paulo Miranda,4-2-3-1,Bruno Arleu de Araujo,Match Report,,11,6,20.5,0,1,2019,Gremio
26,2019-08-31,11:00,Série A,Matchweek 17,Sat,Away,D,0,0,São Paulo,0.2,1.0,46.0,46997.0,David Braz,4-2-3-1,Caio Max Augusto Vieira,Match Report,,7,3,27.7,0,0,2019,Gremio
27,2019-09-08,11:00,Série A,Matchweek 18,Sun,Away,W,4,1,Cruzeiro,2.2,1.8,48.0,14208.0,Pedro Geromel,4-2-3-1,Rafael Traci,Match Report,,12,4,17.3,0,0,2019,Gremio
28,2019-09-15,16:00,Série A,Matchweek 19,Sun,Home,W,3,0,Goiás,1.4,0.5,63.0,35584.0,David Braz,4-2-3-1,Savio Pereira,Match Report,,22,10,19.9,0,0,2019,Gremio
29,2019-09-21,21:00,Série A,Matchweek 20,Sat,Away,W,3,0,Santos,1.4,1.0,43.0,10898.0,Walter Kannemann,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,12,6,18.2,0,0,2019,Gremio
30,2019-09-26,20:00,Série A,Matchweek 21,Thu,Home,W,6,1,Avaí,1.7,0.5,52.0,14861.0,Walter Kannemann,4-2-3-1,Rodolpho Toski Marques,Match Report,,11,8,15.0,0,0,2019,Gremio
31,2019-09-29,16:00,Série A,Matchweek 22,Sun,Away,L,1,2,Fluminense,1.7,1.0,53.0,17791.0,Léo Moura,4-2-3-1,Caio Max Augusto Vieira,Match Report,,15,4,16.4,0,0,2019,Gremio
33,2019-10-05,19:00,Série A,Matchweek 23,Sat,Home,D,0,0,Corinthians,0.9,0.6,64.0,14596.0,Walter Kannemann,4-2-3-1,Bruno Arleu de Araujo,Match Report,,18,4,21.1,0,0,2019,Gremio
34,2019-10-09,21:00,Série A,Matchweek 24,Wed,Home,W,2,1,Ceará,2.4,1.8,67.0,6078.0,Pedro Geromel,4-2-3-1,Edina Alves Batista,Match Report,,10,3,18.5,1,1,2019,Gremio
35,2019-10-13,19:00,Série A,Matchweek 25,Sun,Away,W,4,1,Atlético Mineiro,2.1,2.0,56.0,12974.0,Pedro Geromel,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,13,5,24.8,1,1,2019,Gremio
36,2019-10-16,19:15,Série A,Matchweek 26,Wed,Home,L,0,1,Bahia,1.8,1.4,63.0,11757.0,Pedro Geromel,4-2-3-1,Rodolpho Toski Marques,Match Report,,18,6,20.5,0,0,2019,Gremio
37,2019-10-19,17:00,Série A,Matchweek 27,Sat,Away,L,1,2,Fortaleza,1.5,1.1,60.0,26801.0,David Braz,4-2-3-1,André Luiz de Freitas Castro,Match Report,,13,4,17.8,0,0,2019,Gremio
39,2019-10-27,17:00,Série A,Matchweek 28,Sun,Home,W,3,0,Botafogo (RJ),3.1,0.5,52.0,7608.0,Pedro Geromel,4-2-2-2,Rafael Traci,Match Report,,21,9,17.4,0,0,2019,Gremio
40,2019-10-30,21:30,Série A,Matchweek 29,Wed,Away,W,3,1,Vasco da Gama,1.6,0.8,57.0,15708.0,Léo Moura,4-2-3-1,Wilton Sampaio,Match Report,,8,3,20.6,1,1,2019,Gremio
41,2019-11-03,19:00,Série A,Matchweek 30,Sun,Home,W,2,0,Internacional,1.1,0.2,59.0,40618.0,Pedro Geromel,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,21,9,19.0,0,0,2019,Gremio
42,2019-11-07,21:00,Série A,Matchweek 31,Thu,Home,W,2,1,CSA,1.7,0.7,65.0,11334.0,Pedro Geromel,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,,19,3,21.4,0,0,2019,Gremio
43,2019-11-10,20:00,Série A,Matchweek 32,Sun,Away,W,1,0,Chapecoense,1.0,0.7,51.0,13335.0,Walter Kannemann,4-2-3-1,Marcelo de Lima Henrique,Match Report,,7,2,22.4,0,0,2019,Gremio
44,2019-11-17,16:00,Série A,Matchweek 33,Sun,Home,L,0,1,Flamengo,1.4,1.8,68.0,28541.0,Pedro Geromel,4-2-3-1,Raphael Claus,Match Report,,22,6,19.5,0,0,2019,Gremio
45,2019-11-24,16:00,Série A,Matchweek 34,Sun,Away,W,2,1,Palmeiras,1.4,1.9,60.0,22767.0,Pedro Geromel,4-2-3-1,Wilton Sampaio,Match Report,,6,2,25.1,1,1,2019,Gremio
46,2019-11-27,21:30,Série A,Matchweek 35,Wed,Away,L,0,2,Ath Paranaense,0.4,2.1,41.0,20974.0,Pedro Geromel,4-2-3-1,Bruno Arleu de Araujo,Match Report,,5,3,15.8,0,0,2019,Gremio
47,2019-12-01,19:00,Série A,Matchweek 36,Sun,Home,W,3,0,São Paulo,2.2,0.4,42.0,22039.0,Pedro Geromel,4-2-3-1,Marcelo de Lima Henrique,Match Report,,12,3,23.1,1,1,2019,Gremio
48,2019-12-05,19:15,Série A,Matchweek 37,Thu,Home,W,2,0,Cruzeiro,1.7,1.3,62.0,18306.0,Walter Kannemann,4-2-3-1,André Luiz de Freitas Castro,Match Report,,13,6,23.6,1,1,2019,Gremio
49,2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,L,2,3,Goiás,2.4,1.1,54.0,7145.0,Pepê,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,15,6,16.8,0,0,2019,Gremio
5,2019-04-28,16:00,Série A,Matchweek 1,Sun,Home,W,4,1,Vasco da Gama,3.7,1.3,57.0,12275.0,Thiago Heleno,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,20,11,16.6,0,0,2019,Athletico Paranaense
6,2019-05-01,21:30,Série A,Matchweek 2,Wed,Away,L,1,2,Fortaleza,0.3,1.3,63.0,20578.0,Thiago Heleno,4-2-3-1,Marcelo de Lima Henrique,Match Report,,10,4,25.9,0,0,2019,Athletico Paranaense
7,2019-05-05,11:00,Série A,Matchweek 3,Sun,Away,D,1,1,Chapecoense,1.5,1.5,50.0,6433.0,Márcio Azevedo,5-3-2,Vinicius Gonçalves Dias Araujo,Match Report,,17,6,21.3,0,0,2019,Athletico Paranaense
9,2019-05-12,19:00,Série A,Matchweek 4,Sun,Home,W,1,0,Bahia,2.2,0.9,62.0,10510.0,Wellington Martins,4-1-4-1,Savio Pereira,Match Report,,18,9,22.6,0,0,2019,Athletico Paranaense
10,2019-05-19,16:00,Série A,Matchweek 5,Sun,Home,L,0,2,Corinthians,1.3,1.1,62.0,18284.0,Matheus Rossetto,4-4-2,Wagner do Nascimento Magalhaes,Match Report,,23,5,20.5,0,0,2019,Athletico Paranaense
11,2019-05-26,16:00,Série A,Matchweek 6,Sun,Away,L,2,3,Flamengo,2.9,1.6,50.0,52667.0,Wellington Martins,4-4-2,Daniel Nobre Bins,Match Report,,11,4,18.5,1,1,2019,Athletico Paranaense
12,2019-06-02,16:00,Série A,Matchweek 7,Sun,Home,W,3,0,Fluminense,1.3,0.3,55.0,11709.0,Lucho González,4-2-3-1,Wagner Reway,Match Report,,16,5,18.6,0,0,2019,Athletico Paranaense
13,2019-06-08,16:30,Série A,Matchweek 8,Sat,Away,L,0,1,Palmeiras,0.3,2.4,56.0,37086.0,Bruno Guimarães,4-1-4-1,Rodrigo D'Alonso Ferreira,Match Report,,7,3,19.2,0,0,2019,Athletico Paranaense
14,2019-06-13,20:00,Série A,Matchweek 9,Thu,Away,L,1,2,Goiás,1.4,2.9,68.0,10468.0,Santos,4-1-2-1-2◆,Rodrigo Carvalhaes de Miranda,Match Report,,18,6,19.6,0,0,2019,Athletico Paranaense
15,2019-07-14,16:00,Série A,Matchweek 10,Sun,Home,W,1,0,Internacional,2.1,1.0,60.0,12700.0,Lucho González,4-2-3-1,Braulio da Silva Machado,Match Report,,17,6,17.6,0,0,2019,Athletico Paranaense
16,2019-07-20,19:00,Série A,Matchweek 11,Sat,Away,W,4,0,CSA,1.5,0.5,48.0,7845.0,Caio,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,14,9,18.2,0,0,2019,Athletico Paranaense
18,2019-07-27,19:00,Série A,Matchweek 12,Sat,Away,W,2,0,Cruzeiro,2.0,0.5,59.0,20689.0,Wellington Martins,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,19,5,21.7,1,1,2019,Athletico Paranaense
20,2019-08-11,16:00,Série A,Matchweek 14,Sun,Away,L,1,2,Botafogo (RJ),2.2,2.0,53.0,7992.0,Lucho González,4-2-3-1,Douglas Marques das Flores,Match Report,,17,8,15.6,0,0,2019,Athletico Paranaense
21,2019-08-17,19:00,Série A,Matchweek 15,Sat,Home,W,1,0,Atlético Mineiro,0.7,1.5,49.0,13148.0,Santos,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,15,5,21.3,0,0,2019,Athletico Paranaense
22,2019-08-21,19:15,Série A,Matchweek 13,Wed,Home,L,0,1,São Paulo,1.6,1.2,64.0,20047.0,Wellington Martins,4-2-3-1,Daniel Nobre Bins,Match Report,,16,3,17.3,0,0,2019,Athletico Paranaense
23,2019-08-24,17:00,Série A,Matchweek 16,Sat,Away,L,1,2,Grêmio,1.3,2.0,60.0,12748.0,Santos,4-1-4-1,Bruno Arleu de Araujo,Match Report,,16,4,18.2,0,0,2019,Athletico Paranaense
24,2019-08-31,19:00,Série A,Matchweek 17,Sat,Home,W,1,0,Ceará,1.0,0.4,68.0,10075.0,Adriano,4-2-3-1,Leandro Pedro Vuaden,Match Report,,11,4,18.9,0,0,2019,Athletico Paranaense
25,2019-09-08,16:00,Série A,Matchweek 18,Sun,Away,D,1,1,Santos,1.6,2.6,39.0,12589.0,Lucho González,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,9,4,16.2,0,0,2019,Athletico Paranaense
26,2019-09-15,11:00,Série A,Matchweek 19,Sun,Home,L,0,1,Avaí,2.2,0.4,65.0,13784.0,Lucho González,4-1-4-1,Felipe Fernandes de Lima,Match Report,,16,3,13.3,0,0,2019,Athletico Paranaense
27,2019-09-22,16:00,Série A,Matchweek 20,Sun,Away,D,1,1,Vasco da Gama,0.4,3.2,52.0,17427.0,Wellington Martins,4-1-4-1,Anderson Daronco,Match Report,,10,2,23.3,0,0,2019,Athletico Paranaense
28,2019-09-26,21:30,Série A,Matchweek 21,Thu,Home,W,4,1,Fortaleza,3.6,1.6,65.0,12080.0,Wellington Martins,4-1-4-1,Vinicius Gomes do Amaral,Match Report,,20,9,14.6,0,0,2019,Athletico Paranaense
29,2019-09-29,19:00,Série A,Matchweek 22,Sun,Home,D,1,1,Chapecoense,3.0,0.4,69.0,13669.0,Wellington Martins,4-3-3,Thiago Duarte Peixoto,Match Report,,28,5,19.3,0,0,2019,Athletico Paranaense
30,2019-10-05,19:00,Série A,Matchweek 23,Sat,Away,W,2,1,Bahia,1.7,1.5,53.0,38096.0,Thiago Heleno,4-2-3-1,Raphael Claus,Match Report,,13,5,20.2,0,0,2019,Athletico Paranaense
31,2019-10-10,19:15,Série A,Matchweek 24,Thu,Away,D,2,2,Corinthians,3.1,1.6,58.0,22964.0,Wellington Martins,4-3-3,André Luiz de Freitas Castro,Match Report,,14,6,17.9,0,0,2019,Athletico Paranaense
32,2019-10-13,16:00,Série A,Matchweek 25,Sun,Home,L,0,2,Flamengo,1.5,1.9,59.0,25473.0,Lucho González,4-1-4-1,Braulio da Silva Machado,Match Report,,12,6,15.3,0,0,2019,Athletico Paranaense
33,2019-10-17,21:00,Série A,Matchweek 26,Thu,Away,W,2,1,Fluminense,0.8,1.9,50.0,16109.0,Santos,4-4-2,Rodrigo D'Alonso Ferreira,Match Report,,14,4,18.7,0,0,2019,Athletico Paranaense
34,2019-10-20,19:00,Série A,Matchweek 27,Sun,Home,D,1,1,Palmeiras,1.3,0.8,52.0,18732.0,Wellington Martins,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,14,6,20.1,0,0,2019,Athletico Paranaense
35,2019-10-27,17:00,Série A,Matchweek 28,Sun,Home,W,4,1,Goiás,3.8,0.4,68.0,10778.0,Wellington Martins,4-3-3,Flavio Rodrigues De Souza,Match Report,,24,15,15.3,0,0,2019,Athletico Paranaense
36,2019-10-31,21:30,Série A,Matchweek 29,Thu,Away,D,1,1,Internacional,1.4,2.5,46.0,18767.0,Wellington Martins,4-2-3-1,André Luiz de Freitas Castro,Match Report,,10,2,18.6,0,0,2019,Athletico Paranaense
37,2019-11-03,19:00,Série A,Matchweek 30,Sun,Home,W,1,0,CSA,2.6,0.3,65.0,10681.0,Thiago Heleno,4-2-3-1,Savio Pereira,Match Report,,27,7,20.9,0,0,2019,Athletico Paranaense
38,2019-11-06,21:30,Série A,Matchweek 31,Wed,Home,D,0,0,Cruzeiro,2.0,0.5,65.0,11838.0,Wellington Martins,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,24,9,18.2,0,0,2019,Athletico Paranaense
39,2019-11-10,17:00,Série A,Matchweek 32,Sun,Away,W,1,0,São Paulo,0.4,1.1,37.0,13795.0,Wellington Martins,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,5,1,20.1,0,0,2019,Athletico Paranaense
40,2019-11-17,18:00,Série A,Matchweek 33,Sun,Home,W,1,0,Botafogo (RJ),2.4,0.5,58.0,17027.0,Wellington Martins,4-2-3-1,Braulio da Silva Machado,Match Report,,21,5,19.6,0,1,2019,Athletico Paranaense
41,2019-11-24,16:00,Série A,Matchweek 34,Sun,Away,W,1,0,Atlético Mineiro,0.6,1.7,55.0,34432.0,Santos,4-2-3-1,Edina Alves Batista,Match Report,,7,3,20.3,0,0,2019,Athletico Paranaense
42,2019-11-27,21:30,Série A,Matchweek 35,Wed,Home,W,2,0,Grêmio,2.1,0.4,59.0,20974.0,Wellington Martins,4-1-4-1,Bruno Arleu de Araujo,Match Report,,19,6,21.3,1,1,2019,Athletico Paranaense
43,2019-11-30,19:00,Série A,Matchweek 36,Sat,Away,D,1,1,Ceará,0.7,2.1,49.0,24262.0,Thiago Heleno,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,10,3,21.9,0,0,2019,Athletico Paranaense
44,2019-12-04,19:00,Série A,Matchweek 37,Wed,Home,W,1,0,Santos,0.4,0.6,51.0,29746.0,Wellington Martins,4-2-3-1,Anderson Daronco,Match Report,,9,3,20.4,0,0,2019,Athletico Paranaense
45,2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,D,0,0,Avaí,1.0,1.1,61.0,2445.0,Thiago Heleno,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,16,8,20.8,0,0,2019,Athletico Paranaense
2,2019-04-27,16:00,Série A,Matchweek 1,Sat,Home,W,2,0,Botafogo (RJ),1.1,0.5,30.0,26533.0,Hudson,4-2-3-1,Caio Max Augusto Vieira,Match Report,,7,4,23.6,0,0,2019,Sao Paulo
3,2019-05-01,21:30,Série A,Matchweek 2,Wed,Away,W,2,1,Goiás,0.7,1.7,53.0,29644.0,Hudson,4-2-3-1,Rafael Traci,Match Report,,14,5,19.7,0,0,2019,Sao Paulo
4,2019-05-05,16:00,Série A,Matchweek 3,Sun,Home,D,1,1,Flamengo,1.9,1.2,64.0,38749.0,Hudson,4-3-3,Ricardo Marques Ribeiro,Match Report,,22,11,21.6,0,0,2019,Sao Paulo
5,2019-05-12,19:00,Série A,Matchweek 4,Sun,Away,W,1,0,Fortaleza,0.7,0.7,47.0,42955.0,Hudson,4-3-3,Wilton Sampaio,Match Report,,8,2,22.5,0,0,2019,Sao Paulo
6,2019-05-19,11:00,Série A,Matchweek 5,Sun,Home,D,0,0,Bahia,0.5,1.4,57.0,44640.0,Hernanes,4-2-3-1,Daniel Nobre Bins,Match Report,,11,3,23.5,0,0,2019,Sao Paulo
7,2019-05-26,19:00,Série A,Matchweek 6,Sun,Away,L,0,1,Corinthians,0.4,1.2,59.0,39378.0,Hudson,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,9,1,24.3,0,0,2019,Sao Paulo
8,2019-06-02,16:00,Série A,Matchweek 7,Sun,Home,D,1,1,Cruzeiro,1.0,1.4,41.0,8517.0,Hernanes,4-3-3,Braulio da Silva Machado,Match Report,,13,4,21.6,0,0,2019,Sao Paulo
9,2019-06-08,21:00,Série A,Matchweek 8,Sat,Away,D,0,0,Avaí,0.6,0.5,63.0,8084.0,Hudson,4-2-3-1,Caio Max Augusto Vieira,Match Report,,12,3,19.0,0,0,2019,Sao Paulo
10,2019-06-13,20:00,Série A,Matchweek 9,Thu,Away,D,1,1,Atlético Mineiro,0.6,1.9,32.0,19761.0,Hernanes,4-2-3-1,Leandro Pedro Vuaden,Match Report,,9,3,23.8,0,0,2019,Sao Paulo
11,2019-07-13,19:00,Série A,Matchweek 10,Sat,Home,D,1,1,Palmeiras,0.9,1.1,45.0,38267.0,Hernanes,4-2-3-1,Bruno Arleu de Araujo,Match Report,,14,10,20.5,0,0,2019,Sao Paulo
12,2019-07-22,20:00,Série A,Matchweek 11,Mon,Home,W,4,0,Chapecoense,2.9,0.6,49.0,35558.0,Hernanes,4-2-3-1,Savio Pereira,Match Report,,19,6,20.4,0,0,2019,Sao Paulo
13,2019-07-27,19:00,Série A,Matchweek 12,Sat,Away,W,2,1,Fluminense,1.3,2.0,30.0,21741.0,Hernanes,4-2-3-1,Anderson Daronco,Match Report,,12,4,23.0,1,1,2019,Sao Paulo
14,2019-08-10,17:00,Série A,Matchweek 14,Sat,Home,W,3,2,Santos,2.2,1.3,43.0,47277.0,Reinaldo,4-2-3-1,Raphael Claus,Match Report,,19,6,20.1,1,1,2019,Sao Paulo
15,2019-08-18,16:00,Série A,Matchweek 15,Sun,Home,W,1,0,Ceará,1.0,0.7,58.0,47705.0,Reinaldo,4-1-4-1,Gilberto Rodrigues Castro Junior,Match Report,,12,6,21.4,0,0,2019,Sao Paulo
16,2019-08-21,19:15,Série A,Matchweek 13,Wed,Away,W,1,0,Ath Paranaense,1.2,1.6,36.0,20047.0,Reinaldo,4-2-3-1,Daniel Nobre Bins,Match Report,,5,2,21.8,0,0,2019,Sao Paulo
17,2019-08-25,16:00,Série A,Matchweek 16,Sun,Away,L,0,2,Vasco da Gama,0.2,2.0,48.0,20404.0,Dani Alves,4-1-4-1,Anderson Daronco,Match Report,,3,1,18.7,0,0,2019,Sao Paulo
18,2019-08-31,11:00,Série A,Matchweek 17,Sat,Home,D,0,0,Grêmio,1.0,0.2,54.0,46997.0,Dani Alves,4-2-3-1,Caio Max Augusto Vieira,Match Report,,19,4,20.7,0,0,2019,Sao Paulo
19,2019-09-07,19:00,Série A,Matchweek 18,Sat,Away,L,0,1,Internacional,0.5,1.6,49.0,14302.0,Reinaldo,4-2-3-1,Marcelo de Lima Henrique,Match Report,,9,4,19.1,0,0,2019,Sao Paulo
20,2019-09-15,19:00,Série A,Matchweek 19,Sun,Home,D,1,1,CSA,2.8,0.7,71.0,29779.0,Hernanes,4-2-3-1,Heber Roberto Lopes,Match Report,,33,6,18.4,0,0,2019,Sao Paulo
21,2019-09-21,11:00,Série A,Matchweek 20,Sat,Away,W,2,1,Botafogo (RJ),1.2,0.6,47.0,18471.0,Hernanes,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,,17,7,20.8,0,0,2019,Sao Paulo
22,2019-09-25,21:30,Série A,Matchweek 21,Wed,Home,L,0,1,Goiás,1.9,0.3,72.0,12505.0,Dani Alves,4-2-3-1,Bruno Arleu de Araujo,Match Report,,12,3,15.7,0,1,2019,Sao Paulo
23,2019-09-28,19:00,Série A,Matchweek 22,Sat,Away,D,0,0,Flamengo,0.5,1.7,39.0,67051.0,Hernanes,4-1-4-1,Rafael Traci,Match Report,,8,1,26.2,0,0,2019,Sao Paulo
24,2019-10-05,17:00,Série A,Matchweek 23,Sat,Home,W,2,1,Fortaleza,2.6,1.1,61.0,34962.0,Hernanes,4-1-4-1,Diego Pombo Lopez,Match Report,,19,7,17.1,0,0,2019,Sao Paulo
25,2019-10-09,21:00,Série A,Matchweek 24,Wed,Away,D,0,0,Bahia,0.4,0.7,59.0,31726.0,Hernanes,4-2-3-1,Braulio da Silva Machado,Match Report,,8,1,22.1,0,0,2019,Sao Paulo
26,2019-10-13,18:00,Série A,Matchweek 25,Sun,Home,W,1,0,Corinthians,1.7,0.1,55.0,37561.0,Hernanes,4-1-4-1,Raphael Claus,Match Report,,16,2,26.2,1,1,2019,Sao Paulo
27,2019-10-16,21:00,Série A,Matchweek 26,Wed,Away,L,0,1,Cruzeiro,0.6,0.6,59.0,30969.0,Hernanes,4-1-4-1,Wilton Sampaio,Match Report,,8,2,24.6,0,0,2019,Sao Paulo
28,2019-10-20,17:00,Série A,Matchweek 27,Sun,Home,W,1,0,Avaí,1.5,0.6,77.0,20763.0,Dani Alves,4-1-4-1,Dewson Fernando Freitas da Silva,Match Report,,22,7,17.0,0,0,2019,Sao Paulo
29,2019-10-27,17:00,Série A,Matchweek 28,Sun,Home,W,2,0,Atlético Mineiro,1.6,0.9,59.0,18815.0,Reinaldo,4-1-4-1,Bruno Arleu de Araujo,Match Report,,16,6,17.9,0,0,2019,Sao Paulo
30,2019-10-30,20:30,Série A,Matchweek 29,Wed,Away,L,0,3,Palmeiras,0.9,2.0,67.0,29481.0,Dani Alves,4-1-4-1,Raphael Claus,Match Report,,14,4,23.9,0,0,2019,Sao Paulo
31,2019-11-02,21:00,Série A,Matchweek 30,Sat,Away,W,3,0,Chapecoense,1.1,1.5,61.0,14206.0,Dani Alves,4-2-3-1,Anderson Daronco,Match Report,,12,6,17.6,0,0,2019,Sao Paulo
32,2019-11-07,20:30,Série A,Matchweek 31,Thu,Home,L,0,2,Fluminense,0.8,1.1,56.0,17650.0,Dani Alves,4-3-3,Daniel Nobre Bins,Match Report,,21,4,23.7,0,0,2019,Sao Paulo
33,2019-11-10,17:00,Série A,Matchweek 32,Sun,Home,L,0,1,Ath Paranaense,1.1,0.4,63.0,13795.0,Dani Alves,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,,16,8,18.5,0,0,2019,Sao Paulo
34,2019-11-16,17:00,Série A,Matchweek 33,Sat,Away,D,1,1,Santos,1.3,1.6,59.0,14062.0,Dani Alves,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,15,4,18.3,0,0,2019,Sao Paulo
35,2019-11-24,19:00,Série A,Matchweek 34,Sun,Away,D,1,1,Ceará,1.2,1.6,51.0,29001.0,Dani Alves,4-1-4-1,Rafael Traci,Match Report,,6,2,16.7,0,0,2019,Sao Paulo
36,2019-11-28,20:30,Série A,Matchweek 35,Thu,Home,W,1,0,Vasco da Gama,1.0,0.8,56.0,11970.0,Dani Alves,4-2-3-1,Savio Pereira,Match Report,,15,5,24.0,0,0,2019,Sao Paulo
37,2019-12-01,19:00,Série A,Matchweek 36,Sun,Away,L,0,3,Grêmio,0.4,2.2,58.0,22039.0,Dani Alves,4-1-4-1,Marcelo de Lima Henrique,Match Report,,10,1,23.1,0,0,2019,Sao Paulo
38,2019-12-04,21:30,Série A,Matchweek 37,Wed,Home,W,2,1,Internacional,1.9,0.9,42.0,30822.0,Dani Alves,4-1-4-1,Braulio da Silva Machado,Match Report,,19,8,20.0,0,0,2019,Sao Paulo
39,2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,W,2,1,CSA,1.1,1.3,57.0,7810.0,Igor Gomes,4-3-3,Alisson Sidnei Furtado,Match Report,,13,4,21.5,0,0,2019,Sao Paulo
5,2019-04-27,19:00,Série A,Matchweek 1,Sat,Away,L,0,2,Chapecoense,1.2,1.4,56.0,8231.0,Marcelo Lomba,4-3-3,Raphael Claus,Match Report,,20,7,21.0,0,0,2019,Internacional
6,2019-05-01,16:00,Série A,Matchweek 2,Wed,Home,W,2,1,Flamengo,1.4,0.9,46.0,37001.0,Rodrigo Dourado,4-3-3,Flavio Rodrigues De Souza,Match Report,,17,7,20.3,0,0,2019,Internacional
7,2019-05-04,19:00,Série A,Matchweek 3,Sat,Away,L,0,1,Palmeiras,0.3,1.2,65.0,31549.0,Marcelo Lomba,4-3-3,Wagner do Nascimento Magalhaes,Match Report,,10,2,24.6,0,0,2019,Internacional
9,2019-05-12,16:00,Série A,Matchweek 4,Sun,Home,W,3,1,Cruzeiro,2.8,1.8,53.0,21483.0,Andrés D'Alessandro,4-3-3,Raphael Claus,Match Report,,15,4,20.2,0,1,2019,Internacional
10,2019-05-19,16:00,Série A,Matchweek 5,Sun,Home,W,2,0,CSA,1.2,0.9,63.0,24220.0,Andrés D'Alessandro,4-3-1-2,Rodrigo Carvalhaes de Miranda,Match Report,,14,7,21.8,0,0,2019,Internacional
11,2019-05-26,16:00,Série A,Matchweek 6,Sun,Away,D,0,0,Santos,0.8,0.4,38.0,12756.0,Marcelo Lomba,4-1-4-1,Rodolpho Toski Marques,Match Report,,15,1,24.3,0,0,2019,Internacional
12,2019-06-02,19:00,Série A,Matchweek 7,Sun,Home,W,2,0,Avaí,1.5,0.6,63.0,19789.0,Andrés D'Alessandro,4-2-3-1,Rodrigo Nunes de Sá,Match Report,,11,7,18.9,0,0,2019,Internacional
13,2019-06-07,20:30,Série A,Matchweek 8,Fri,Away,L,1,2,Vasco da Gama,1.7,1.2,69.0,11046.0,Marcelo Lomba,4-3-3,Heber Roberto Lopes,Match Report,,19,4,18.7,0,0,2019,Internacional
